Ligand_SMILES,IC50 (nM)
OC(=O)c1c(CCS)c2ccccc2n1Cc1cccc(c1)C(O)=O,22
OC(=O)c1c(CCS)c2ccccc2n1-c1cccc(c1)C(O)=O,22
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCn1cc(COCCOCCOCCOCCOCCOCCOCCOCCNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)nn1)C(O)=O)C(O)=O,23
COc1ccc(CN(CCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN=[N+]=[N-])c(OC)c1,23
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(c1)[N+]([O-])=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,23
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCn1nnc(COCCOCCOCCOCCOCCOCCOCCOCCNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1I)C(O)=O)C(O)=O,24
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(O)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,24
CSc1ccc(cc1)C(=O)NCCCC[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,24
CN1\C(=C\C=C2/CCCC(\C=C\C3=[N+](CCCCCC(=O)NCCCCC(NC(=O)CCCCCCC(=O)NCCCCC(NC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(=O)NCc4ccc(cc4)-c4ccc(O)c(c4)-c4cc5cc(ccc5[nH]4)C(=N)\N=C(\C)O)c4ccc(cc4C3(C)C)S([O-])(=O)=O)=C2)C(C)(C)c2cc(ccc12)S([O-])(=O)=O,25
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,27
